BABECAGErR/FUmdBwCyIDh56mhA5ufUxVECXjq0ypr9IMHgg4R0=
Biome	Chunk	Block Base HP	Block Reward	Mini Boss HP	Mini Boss Reward	Boss HP	Boss Reward
0	0	2	1	120	1200	400	2500
0	10	6	5	600	1500	2000	3000
0	20	20	2	1500	2500	5000	4000
0	30	177	18	22500	3538	75000	7075
1	40	3184	318	337500	63679	1125000	127358
1	50	55719	5572	5062500	1114387	16875000	2228774
1	60	601911	60191	75937500	15047771	253125000	30095541
1	70	10157245	1015725	1139062500	253931131	3796875000	507862261
2	80	169287420	16928742	17085937500	4232185510	56953125000	8464371019
2	90	2007962740	200796274	256289062500	60238882212	854296875000	120477764423
2	100	3.29E+10	3.29E+09	3.84E+12	985727163462	12814453125000	1.97E+12
2	110	5.34E+11	5.34E+10	5.77E+13	1.60E+13	192216796875000	3.20E+13
2	120	5.76E+12	5.76E+11	8.65E+14	2.02E+14	2.88325E+15	4.03E+14
2	130	9.26E+13	9.26E+12	1.30E+16	3.24E+15	4.32488E+16	6.48E+15
2	140	1.48E+15	1.48E+14	1.95E+17	5.19E+16	6.48732E+17	1.04E+17
2	150	1.84E+16	1.84E+15	2.92E+18	7.38E+17	9.73098E+18	1.48E+18
4	160	2.93E+17	2.93E+16	4.38E+19	1.17E+19	1.45965E+20	2.34E+19
4	170	4.64E+18	4.64E+17	6.57E+20	1.86E+20	2.18947E+21	3.71E+20
4	180	7.32E+19	7.32E+18	9.85E+21	2.93E+21	3.2842E+22	5.86E+21
4	190	1.10E+21	1.10E+20	1.48E+23	4.39E+22	4.92631E+23	8.79E+22
4	200	1.65E+22	1.65E+21	2.22E+24	6.59E+23	7.38946E+24	1.32E+24
4	210	2.47E+23	2.47E+22	3.33E+25	9.89E+24	1.10842E+26	1.98E+25
4	220	3.71E+24	3.71E+23	4.99E+26	1.48E+26	1.66263E+27	2.97E+26
4	230	5.56E+25	5.56E+24	7.48E+27	2.22E+27	2.49394E+28	4.45E+27
5	240	8.34E+26	8.34E+25	1.12E+29	3.34E+28	3.74091E+29	6.67E+28
