BABECAGEVjKGOqqyC1GqKddknIw9YkXZJ83kPVOwAD7fBkVyKQA=
Reward	Rarity	KeyChestWeight	BronzeChestWeight	SilverChestWeight	GoldChestWeight
AddToSkillTNTX1	Common	40	40	40	30
AddToSkillAutoMineX1	Common	30	30	30	30
AddToSkillTeamBoostX1	Common	20	20	20	20
AddToSkillTapBoostX1	Common	8	8	8	8
AddToSkillGoldfingerX1	Common	5	5	5	5
AddToSkillTNTX5	Epic	0	0	0	3
AddToSkillAutoMineX5	Epic	0	0	0	3
AddToSkillTeamBoostX5	Epic	0	0	0	2
AddToSkillTapBoostX5	Epic	0	0	0	1
AddToSkillGoldfingerX5	Epic	0	0	0	1
AddToRelicsX1	Common	5	30	30	30
AddToRelicsX2	Rare	1	5	10	15
AddToRelicsX3	Epic	1	3	4	8
AddToRelicsX10	Epic	0	0	0	4
MultiplyCoinsX1.5	Common	25	30	30	60
MultiplyCoinsX2	Rare	2	5	10	35
MultiplyCoinsX10	Epic	0	0	0	10
AddToGemsX1	Common	60	0	0	0
AddToGemsX3	Rare	30	0	0	0
AddToGemsX10	Epic	2	0	0	0
AddToKeysX1	Common	0	15	25	50
AddToKeysX10	Epic	0	0	0	5
