BABECAGEqwoqRAWzLj8t2gzwBK1C+/oBheDgemG9fyciq0+MIHI=
Order	Relics	Grass	Dirt	Wood	Stone	Metal	Gold
0	1	1494	651	344	374	202	4630
1	3	3402	1599	829	872	579	5951
2	7	5596	2688	1387	1445	1013	7471
3	11	8118	3941	2028	2103	1511	9218
4	16	11020	5381	2766	2861	2085	11228
5	22	14356	7038	3614	3732	2744	13539
6	30	18193	8943	4590	4734	3502	16196
7	39	22606	11134	5712	5887	4374	19253
8	49	27681	13653	7002	7212	5377	22767
9	62	33516	16551	8486	8736	6530	26809
10	78	40227	19883	10193	10488	7856	31457
11	96	47945	23715	12155	12504	9381	36803
12	119	56820	28122	14412	14821	11135	42950
13	145	67027	33189	17007	17487	13151	50019
14	178	78764	39017	19991	20552	15471	58149
15	216	92263	45719	23424	24077	18138	67498
16	262	107786	53427	27371	28130	21205	78249
17	318	125637	62290	31910	32792	24733	90614
18	384	146166	72483	37130	38153	28789	104833
19	464	169775	84205	43133	44318	33454	121184
20	560	196925	97685	50036	51408	38819	139989
21	675	228147	113188	57975	59561	44988	161614
22	813	264052	131015	67105	68937	52083	186483
23	979	305344	151517	77604	79720	60242	215082
24	1177	352829	175094	89678	92120	69625	247971
25	1416	407437	202208	103563	106380	80415	285793
26	1702	470236	233389	119531	122780	92824	329289
27	2046	542455	269246	137894	141639	107094	379309
28	2458	625507	310483	159011	163327	123505	436833
29	2952	721017	357905	183297	188268	142377	502984
30	3546	830853	412440	211225	216950	164080	579059
31	4258	957164	475155	243342	249935	189038	666544
32	5112	1102422	547278	280276	287867	217741	767153
33	6138	1269469	630219	322751	331489	250749	882853
34	7368	1461573	725602	371598	381655	288707	1015907
35	8845	1682493	835291	427771	439345	332360	1168920
36	10617	1936550	961434	492370	505689	382561	1344885
37	12743	2228716	1106499	566659	581985	440291	1547244
38	15295	2564707	1273323	652091	669724	506682	1779958
39	18357	2951097	1465171	750338	770625	583031	2047578
40	22032	3395445	1685797	863322	886661	670832	2355342
41	26441	3906446	1939516	993254	1020102	771803	2709270
42	31732	4494096	2231292	1142676	1173560	887920	3116287
43	38081	5169894	2566836	1314510	1350036	1021455	3584357
44	45701	5947062	2952711	1512120	1552984	1175019	4122638
45	54844	6840804	3396467	1739372	1786373	1351619	4741660
46	65816	7868609	3906786	2000711	2054771	1554708	5453536
47	78982	9050584	4493654	2301252	2363429	1788261	6272193
48	94781	10409855	5168551	2646873	2718386	2056847	7213649
49	113740	11973017	5944683	3044337	3126586	2365721	8296323
