BABECAGEANPcYPFbj/dltoN9VsOvKc6bcW59KXqqWAxoU383RNY=
Level	FailChance	AddChestBronze	AddChestSilver	AddChestGold	AddToSpecificBerries	AddToCoins	AddToGems	AddToKeys	AddToSkillRandomUnlocked
0	0	1X10	0X0	0X0	0X0	0X0	10X10	10X10	0X0
1	0.1	1X10	0X0	0X0	0X0	0X0	10X10	10X10	0X0
5	0	0X0	0X0	0X0	5X10	0X0	0X0	0X0	0X0
6	0.2	1X10	1X10	0X0	0X0	0X0	15X10	15X10	0X0
10	0	0X0	0X0	0X0	10X10	0X0	0X0	0X0	0X0
11	0.25	2X10	1X10	0X0	0X0	0X0	20X10	20X10	0X0
15	0	0X0	0X0	0X0	15X10	0X0	0X0	0X0	0X0
16	0.25	2X10	1X10	0X0	0X0	0X0	25X10	20X10	0X0
20	0	0X0	0X0	0X0	20X10	0X0	0X0	0X0	0X0
21	0.25	2X10	1X10	1X10	0X0	0X0	35X10	25X10	0X0
25	0	0X0	0X0	0X0	25X10	0X0	0X0	0X0	0X0
26	0.25	3X10	2X10	1X10	0X0	0X0	45X10	30X10	0X0
30	0	0X0	0X0	0X0	30X10	0X0	0X0	0X0	0X0
31	0.25	3X10	2X10	1X10	0X0	0X0	55X10	30X10	0X0
35	0	0X0	0X0	0X0	35X10	0X0	0X0	0X0	0X0
36	0.25	3X10	2X10	1X10	0X0	0X0	70X10	35X10	0X0
40	0	0X0	0X0	0X0	40X10	0X0	0X0	0X0	0X0
41	0.25	4X10	2X10	1X10	0X0	0X0	85X10	40X10	0X0
45	0	0X0	0X0	0X0	45X10	0X0	0X0	0X0	0X0
46	0.25	4X10	3X10	2X10	0X0	0X0	100X10	45X10	0X0
50	0	0X0	0X0	0X0	50X10	0X0	0X0	0X0	0X0
51	0.3	5X10	3X10	2X10	0X0	0X0	120X10	50X10	0X0
55	0	0X0	0X0	0X0	55X10	0X0	0X0	0X0	0X0
56	0.3	5X10	3X10	2X10	0X0	0X0	140X10	55X10	0X0
60	0	0X0	0X0	0X0	60X10	0X0	0X0	0X0	0X0
61	0.3	6X10	3X10	2X10	0X0	0X0	160X10	60X10	0X0
65	0	0X0	0X0	0X0	65X10	0X0	0X0	0X0	0X0
66	0.3	6X10	4X10	2X10	0X0	0X0	180X10	65X10	0X0
70	0	0X0	0X0	0X0	70X10	0X0	0X0	0X0	0X0
71	0.3	7X10	4X10	3X10	0X0	0X0	200X10	70X10	0X0
75	0	0X0	0X0	0X0	75X10	0X0	0X0	0X0	0X0
76	0.3	7X10	4X10	3X10	0X0	0X0	230X10	75X10	0X0
80	0	0X0	0X0	0X0	80X10	0X0	0X0	0X0	0X0
81	0.35	8X10	4X10	3X10	0X0	0X0	260X10	80X10	0X0
85	0	0X0	0X0	0X0	85X10	0X0	0X0	0X0	0X0
86	0.35	8X10	5X10	3X10	0X0	0X0	290X10	85X10	0X0
90	0	0X0	0X0	0X0	90X10	0X0	0X0	0X0	0X0
91	0.38	9X10	5X10	3X10	0X0	0X0	320X10	90X10	0X0
95	0	0X0	0X0	0X0	95X10	0X0	0X0	0X0	0X0
96	0.38	9X10	5X10	4X10	0X0	0X0	350X10	95X10	0X0
100	0	0X0	0X0	0X0	200X10	0X0	0X0	0X0	0X0
