BABECAGEvf4DF7BpKGHd0Y5lQthpjZd4v5t7KNktWLFGe769Yzc=
ID	AppleID	GoogleID	Task	Parameter	LvlReq	Star1	Star2	Star3	Star4	Star5
Main.BreakBlocks	AchievementBreakBlocks	CgkIuKqojrQYEAIQAA	AmountBlocks		25	10000	50000	250000	1250000	6250000
Main.HeroLevel	AchievementHeroLevel	CgkIuKqojrQYEAIQBQ	HeroLevel	0	25	100	200	300	500	1000
Main.NumCreatures	AchievementNumCreatures	CgkIuKqojrQYEAIQBg	NumCreatures		25	1	3	5	10	15
Main.CollectCoins	AchievementCollectCoins	CgkIuKqojrQYEAIQBw	AmountCoins		25	5000000	500000000	50000000000	5000000000000	500000000000000
Main.NumPrestiges	AchievementNumPrestiges	CgkIuKqojrQYEAIQCA	NumPrestiges		25	2	4	8	16	32
Main.UseTnt	AchievementUseTNT	CgkIuKqojrQYEAIQCQ	AmountSkillUsed	TNT	15	10	20	30	500	1000
Main.UseAutoMine	AchievementUseAutoMine	CgkIuKqojrQYEAIQCg	AmountSkillUsed	AutoMine	100	10	20	30	500	1000
Main.UseTapBoost	AchievementUseTapBoost	CgkIuKqojrQYEAIQCw	AmountSkillUsed	TapBoost	140	10	20	30	500	1000
Main.UseTeamBoost	AchievementUseTeamBoost	CgkIuKqojrQYEAIQDA	AmountSkillUsed	TeamBoost	200	10	20	30	500	1000
Main.UseGoldfinger	AchievementUseGoldfinger	CgkIuKqojrQYEAIQDQ	AmountSkillUsed	Goldfinger	300	10	20	30	500	1000
Main.CraftGears	AchievementCraftGears	CgkIuKqojrQYEAIQDg	NumGears		25	1	5	10	15	20
Main.CollectRelics	AchievementCollectRelics	CgkIuKqojrQYEAIQDw	AmountRelics		25	10	100	500	1000	5000
Main.TapBlocks	AchievementTapBlocks	CgkIuKqojrQYEAIQEA	TapBlocks		25	50000	100000	200000	400000	800000
